"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson2"
"Barrington","16,767","4","0","2","1","1","200","26","169","5","6"
"Bristol","24,639","20","0","3","0","17","340","43","279","18","4"
"Burrillville","16,425","13","0","4","0","9","155","40","106","9","2"
"Central Falls","19,213","105","1","13","30","61","625","147","310","168","6"
"Charlestown","8,232","4","0","0","0","4","117","25","83","9","0"
"Coventry","34,928","36","0","7","4","25","374","94","247","33","14"
"Cranston","81,649","137","0","12","48","77","2,073","322","1,480","271","23"
"Cumberland","33,655","24","0","3","6","15","565","78","450","37","2"
"East Greenwich","13,538","4","0","1","0","3","139","31","98","10","3"
"East Providence","49,560","64","0","10","18","36","761","149","530","82","11"
"Foster","4,476","2","0","0","0","2","32","11","20","1","0"
"Glocester","10,508","5","1","1","0","3","59","17","36","6","1"
"Hopkinton","8,087","6","0","3","0","3","100","22","65","13","1"
"Jamestown","5,674","3","1","0","0","2","124","23","99","2","4"
"Johnston","29,179","41","0","4","4","33","734","99","555","80","13"
"Lincoln","22,097","25","1","2","11","11","488","57","394","37","2"
"Little Compton","3,607","0","0","0","0","0","44","9","30","5","0"
"Middletown","16,962","20","0","2","4","14","333","43","288","2","3"
"Narragansett","16,875","9","0","2","0","7","295","57","229","9","0"
"Newport","25,773","110","0","16","13","81","1,157","241","861","55","19"
"New Shoreham","1,042","0","0","0","0","0","76","4","70","2","0"
"North Providence","33,192","41","0","7","8","26","563","99","384","80","6"
"North Smithfield","10,981","10","0","3","0","7","157","31","113","13","5"
"Pawtucket","73,949","261","3","24","106","128","2,763","512","1,815","436","22"
"Portsmouth","17,238","7","0","1","2","4","255","64","172","19","3"
"Providence","177,392","1,207","20","106","424","657","9,124","1,835","5,025","2,264","Â "
"Richmond","7,696","2","0","1","0","1","95","5","87","3","0"
"Scituate","10,896","5","0","1","2","2","128","27","93","8","2"
"South Kingstown","29,155","24","0","3","1","20","328","74","242","12","2"
"Tiverton","15,400","10","0","0","2","8","250","65","174","11","1"
"Warren","11,365","20","0","3","3","14","226","38","175","13","3"
"Warwick","87,322","122","4","18","24","76","2,614","277","2,021","316","25"
"Westerly","23,649","27","1","7","3","16","523","80","415","28","4"
"West Greenwich","5,634","4","0","0","0","4","81","18","56","7","0"
"West Warwick","29,990","62","0","13","11","38","602","116","422","64","8"
